Data,Descrição,Categoria,Tipo,Valor
2026-06-01,Salário Junho,Salário,Receita,2200
2026-06-02,Renda,Habitação,Despesa,750
2026-06-04,Supermercado,Alimentação,Despesa,96.40
2026-06-06,Passe mensal,Transporte,Despesa,40
2026-06-10,Jantar fora,Lazer,Despesa,38.50
2026-06-14,Farmácia,Saúde,Despesa,22.10
2026-06-18,Projeto freelance,Freelance,Receita,350
2026-06-20,Eletricidade,Contas & Serviços,Despesa,64.20
2026-06-24,Roupa,Compras,Despesa,89.90
2026-07-01,Salário Julho,Salário,Receita,2200
2026-07-02,Renda,Habitação,Despesa,750
2026-07-03,Supermercado,Alimentação,Despesa,112.30
2026-07-06,Passe mensal,Transporte,Despesa,40
2026-07-09,Cinema,Lazer,Despesa,18
2026-07-12,Dividendos,Investimentos,Receita,64.30
2026-07-15,Consulta médica,Saúde,Despesa,45
2026-07-19,Internet,Contas & Serviços,Despesa,34.90
2026-07-22,Curso online,Educação,Despesa,59
2026-07-28,Presente aniversário,Compras,Despesa,45.60
